id,likes,date_of_publication,date_of_next_publication,hour_of_publication,minute_of_publication
1,1,2024-07-22,2024-09-16,22,18
2,14,2024-07-14,2024-07-22,6,20
3,11,2024-01-11,2024-07-14,0,3
4,13,2023-05-10,2024-01-11,11,58
5,15,2023-04-11,2023-05-10,22,23
6,18,2022-12-15,2023-04-11,16,27
7,18,2022-09-10,2022-12-15,19,38
8,0,2022-08-11,2022-09-10,0,37
9,0,2022-08-11,2022-08-11,0,37
10,10,2022-08-11,2022-08-11,0,37
11,17,2022-05-15,2022-08-11,14,38
12,15,2022-04-02,2022-05-15,1,25
13,8,2022-03-15,2022-04-02,21,42
14,23,2022-02-15,2022-03-15,23,4
15,3,2021-11-09,2022-02-15,23,20
16,5,2021-11-09,2021-11-09,23,19
17,22,2021-11-08,2021-11-09,22,53
18,19,2021-09-11,2021-11-08,11,30
19,16,2021-06-01,2021-09-11,23,1
20,21,2020-03-14,2021-06-01,8,56
21,24,2020-02-16,2020-03-14,19,49
22,25,2019-12-27,2020-02-16,21,43
23,32,2018-10-11,2019-12-27,19,22
24,15,2018-08-25,2018-10-11,22,26